iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
GJT,2013,5,3,1,Walker ,Grand Junction,CO,39.1224125,-108.5267347
GRB,2013,5,9.5,2,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GRK,2013,5,16,1,Robert Gray AAF,Killeen,TX,31.06489778,-97.82779778
GRR,2013,5,-4.5,2,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,2013,5,5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,2013,5,60.5,2,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HOU,2013,5,-5,5,William P Hobby,Houston,TX,29.64541861,-95.27888889
IAD,2013,5,-1.222222222,9,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2013,5,1.875,16,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,2013,5,-9,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IDA,2013,5,-1,1,Idaho Falls Regional,Idaho Falls,ID,43.51455556,-112.0701667
ILM,2013,5,-16,1,Wilmington International,Wilmington,NC,34.27061111,-77.90255556
IND,2013,5,-7,1,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
ISP,2013,5,-0.333333333,6,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAN,2013,5,-4.5,2,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2013,5,-3.5,2,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2013,5,3.909090909,11,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2013,5,-2.111111111,18,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2013,5,0.210526316,19,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2013,5,-1,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LFT,2013,5,-10,1,Lafayette Regional,Lafayette,LA,30.20527972,-91.987655
LGA,2013,5,8.615384615,13,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2013,5,-8,1,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LRD,2013,5,-4,1,Laredo International,Laredo,TX,27.54373861,-99.46154361
MCI,2013,5,-8.25,4,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2013,5,-4.454545455,11,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,2013,5,-11.8,10,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2013,5,6.5,4,Memphis International,Memphis,TN,35.04241667,-89.97666667
MFR,2013,5,-9,1,Rogue Valley International,Medford,OR,42.37422778,-122.8734978
MHT,2013,5,-2.25,4,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2013,5,10.25,4,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2013,5,1.5,2,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLB,2013,5,-12,1,Melbourne International ,Melbourne,FL,28.10275,-80.64580556
MLI,2013,5,-3,1,Quad City,Moline,IL,41.44852639,-90.50753917
MRY,2013,5,-3.5,2,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSP,2013,5,1.470588235,17,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2013,5,-2,2,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
MTJ,2013,5,-3,1,Montrose Regional,Montrose,CO,38.50886722,-107.8938333
MYR,2013,5,-12,1,Myrtle Beach International,Myrtle Beach,SC,33.67975,-78.92833333
OAK,2013,5,15,3,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2013,5,75,1,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
ONT,2013,5,4.4,5,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2013,5,0.828571429,35,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2013,5,9,2,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2013,5,6.25,4,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2013,5,3.25,8,Portland Intl,Portland,OR,45.58872222,-122.5975
PHF,2013,5,-21,1,Newport News/Williamsburg International,Newport News,VA,37.13189556,-76.4929875
PHL,2013,5,-4.125,8,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2013,5,-6.866666667,15,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,2013,5,0,4,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PSP,2013,5,-1,1,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,2013,5,16.66666667,3,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
PWM,2013,5,55,1,Portland International Jetport,Portland,ME,43.64616667,-70.30875
RDM,2013,5,-12,1,Roberts ,Redmond,OR,44.25406722,-121.1499633
RDU,2013,5,-10.33333333,3,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2013,5,-1.5,2,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2013,5,-5.75,4,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROC,2013,5,6.5,2,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RSW,2013,5,8,2,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2013,5,2.333333333,3,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2013,5,9.5,2,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SAV,2013,5,-5,1,Savannah International,Savannah,GA,32.12758333,-81.20213889
SBA,2013,5,-6,1,Santa Barbara Municipal,Santa Barbara,CA,34.42621194,-119.8403733
SBP,2013,5,-4,1,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,35.23705806,-120.6423931
SDF,2013,5,-5,1,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2013,5,-2,10,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2013,5,16.5,14,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SGF,2013,5,-2,1,Springfield-Branson Regional,Springfield,MO,37.24432611,-93.38685806
SHV,2013,5,12,1,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,2013,5,3,6,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2013,5,22.1,20,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2013,5,12.33333333,3,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2013,5,4.333333333,3,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
STL,2013,5,-3,2,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,2013,5,28.5,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TPA,2013,5,-5,2,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,2013,5,115,1,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,2013,5,-12.66666667,3,Tucson International,Tucson,AZ,32.11608333,-110.9410278
TYR,2013,5,0,1,Tyler Pounds ,Tyler,TX,32.35413889,-95.40238611
TYS,2013,5,10,1,McGhee-Tyson,Knoxville,TN,35.81248722,-83.99285583
VPS,2013,5,-14,1,Eglin Air Force Base,Valparaiso,FL,30.48325,-86.5254
XNA,2013,5,24,2,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,36.28186944,-94.30681111
ABQ,2014,5,32,2,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
AEX,2014,5,-5,1,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
ALB,2014,5,4,3,Albany Cty,Albany,NY,42.74811944,-73.80297861
ASE,2014,5,0,1,Aspen-Pitkin Co/Sardy ,Aspen,CO,39.22316,-106.868845
ATL,2014,5,5.636363636,33,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2014,5,-8,2,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,2014,5,-1,1,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2014,5,-1.666666667,3,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BIS,2014,5,-2,1,Bismarck Municipal,Bismarck,ND,46.77411111,-100.7467222
BNA,2014,5,4.111111111,9,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOI,2014,5,4,2,Boise Air Terminal,Boise,ID,43.56444444,-116.2227778
BOS,2014,5,4.714285714,7,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BTR,2014,5,65,3,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,30.53316083,-91.14963444
BUR,2014,5,26,4,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2014,5,25.88888889,9,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
CAK,2014,5,-5.5,2,Akron-Canton Regional,Akron,OH,40.91631194,-81.44246556
CHS,2014,5,1.333333333,3,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CID,2014,5,-1.5,2,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-91.71087222
CLE,2014,5,17.33333333,6,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2014,5,12,10,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2014,5,-0.75,4,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CRP,2014,5,14,2,Corpus Christi International,Corpus Christi,TX,27.77036083,-97.50121528
CVG,2014,5,-6.363636364,11,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,2014,5,-0.333333333,6,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DCA,2014,5,-5.888888889,9,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2014,5,12.54166667,24,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2014,5,1.259259259,27,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,2014,5,-1,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,2014,5,-6.777777778,9,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2014,5,1.5,4,El Paso International,El Paso,TX,31.80666667,-106.3778056
EUG,2014,5,0,1,Mahlon Sweet ,Eugene,OR,44.12326,-123.2186856
EWR,2014,5,12.75,12,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAT,2014,5,16,2,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FAY,2014,5,13,1,Fayetteville Municipal,Fayetteville,NC,34.99147222,-78.88
FLL,2014,5,21.33333333,3,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FNT,2014,5,4,2,Bishop,Flint,MI,42.96550333,-83.74345639
GEG,2014,5,10,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GPT,2014,5,-2,1,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,30.40728028,-89.07009278
GRB,2014,5,-13,1,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GRR,2014,5,-6,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,2014,5,16,1,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GUC,2014,5,9,1,Gunnison County,Gunnison,CO,38.53396333,-106.9331817
HLN,2014,5,-17,2,Helena Regional,Helena,MT,46.60681806,-111.9827503
HOU,2014,5,-1,5,William P Hobby,Houston,TX,29.64541861,-95.27888889
HSV,2014,5,-17,2,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,2014,5,3.3,10,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2014,5,2.0625,16,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,2014,5,-17,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
ISP,2014,5,0,2,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAX,2014,5,-6,3,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2014,5,-0.833333333,6,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2014,5,-3.9375,16,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2014,5,0.285714286,14,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2014,5,-1,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LGA,2014,5,13.46153846,13,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2014,5,10,1,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,2014,5,10,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,2014,5,-2,1,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2014,5,0.818181818,11,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2014,5,-1,1,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2014,5,28.2,5,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2014,5,-4,4,Memphis International,Memphis,TN,35.04241667,-89.97666667
MFE,2014,5,-8,1,McAllen Miller International,McAllen,TX,26.17583333,-98.23861111
MGM,2014,5,-11,1,Montgomery Regional Apt,Montgomery,AL,32.30064417,-86.39397611
MHT,2014,5,51.33333333,3,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2014,5,34.11111111,9,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2014,5,6.4,5,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLI,2014,5,-7.5,2,Quad City,Moline,IL,41.44852639,-90.50753917
MRY,2014,5,5,1,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSN,2014,5,3,1,Dane County Regional,Madison,WI,43.13985778,-89.33751361
MSP,2014,5,-9.5,10,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2014,5,-4.333333333,3,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
MYR,2014,5,8,1,Myrtle Beach International,Myrtle Beach,SC,33.67975,-78.92833333
OAK,2014,5,-0.333333333,12,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2014,5,-1.5,2,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,2014,5,9.333333333,3,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2014,5,7,3,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2014,5,24.5952381,42,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2014,5,6,2,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2014,5,8.5,2,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2014,5,-1.5,4,Portland Intl,Portland,OR,45.58872222,-122.5975
PHF,2014,5,-4.666666667,3,Newport News/Williamsburg International,Newport News,VA,37.13189556,-76.4929875
PHL,2014,5,-5.142857143,7,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2014,5,0.695652174,23,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIA,2014,5,-5,1,Greater Peoria Regional,Peoria,IL,40.66424333,-89.69330556
PIT,2014,5,-3.333333333,3,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PSC,2014,5,-5,2,Tri-Cities,Pasco,WA,46.26468028,-119.1190292
PSP,2014,5,21,1,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,2014,5,27,6,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RDU,2014,5,-5.666666667,3,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2014,5,44,1,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2014,5,3,6,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROC,2014,5,-1,1,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
SAN,2014,5,0.222222222,9,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2014,5,13.4,5,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SAV,2014,5,-9,1,Savannah International,Savannah,GA,32.12758333,-81.20213889
SDF,2014,5,9.666666667,3,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2014,5,1.416666667,12,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2014,5,19.54545455,11,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SGF,2014,5,23,1,Springfield-Branson Regional,Springfield,MO,37.24432611,-93.38685806
SHV,2014,5,14,2,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,2014,5,8.333333333,3,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2014,5,-5.692307692,13,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2014,5,-1,2,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2014,5,17,2,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
STL,2014,5,7.636363636,11,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,2014,5,6,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TPA,2014,5,20.14285714,7,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,2014,5,0,1,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,2014,5,26,2,Tucson International,Tucson,AZ,32.11608333,-110.9410278
TVC,2014,5,14,2,Cherry Capital,Traverse City,MI,44.74144472,-85.582235
TWF,2014,5,-2,1,Joslin Field - Magic Valley,Twin Falls,ID,42.48180389,-114.4877356
XNA,2014,5,-8.666666667,3,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,36.28186944,-94.30681111
YUM,2014,5,-2,1,Yuma MCAS-Yuma International,Yuma,AZ,32.65658333,-114.6059722
ABE,2015,5,12.5,2,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABQ,2015,5,-4.5,4,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,2015,5,27.33333333,3,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,2015,5,-2.03125,32,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2015,5,-4.666666667,3,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,2015,5,-4.333333333,3,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2015,5,1,1,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BMI,2015,5,-14,1,Central Illinois Regional,Bloomington,IL,40.47798556,-88.91595278
BNA,2015,5,20.85714286,7,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,2015,5,4.444444444,9,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BTR,2015,5,7,1,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,30.53316083,-91.14963444
BUF,2015,5,-2,4,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BUR,2015,5,12,1,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2015,5,7.333333333,9,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
CAE,2015,5,8,1,Columbia Metropolitan,Columbia,SC,33.93884,-81.11953944
CID,2015,5,37,1,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-91.71087222
CLE,2015,5,-4.636363636,11,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2015,5,4.80952381,21,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2015,5,61.5,2,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
COS,2015,5,2,3,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CPR,2015,5,8,1,Natrona County Intl,Casper,WY,42.90835556,-106.4644661
CVG,2015,5,-8.444444444,9,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
CWA,2015,5,-3,1,Central Wisconsin,Mosinee,WI,44.77761917,-89.66677944
DAL,2015,5,-3,2,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,2015,5,-17,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,2015,5,-0.125,8,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2015,5,2.294117647,17,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2015,5,17.4,20,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,2015,5,117,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,2015,5,5.647058824,17,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2015,5,-2,2,El Paso International,El Paso,TX,31.80666667,-106.3778056
EVV,2015,5,-6,2,Evansville Regional,Evansville,IN,38.03799139,-87.53062667
EWR,2015,5,46.9047619,21,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAR,2015,5,42,1,Hector International,Fargo,ND,46.91934889,-96.81498889
FAT,2015,5,7.666666667,3,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FCA,2015,5,-22,1,Glacier Park Intl,Kalispell,MT,48.31140472,-114.2550694
FLL,2015,5,-4.857142857,7,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FWA,2015,5,-9,1,Fort Wayne International,Fort Wayne,IN,40.97846583,-85.19514639
GEG,2015,5,-5,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GJT,2015,5,0,1,Walker ,Grand Junction,CO,39.1224125,-108.5267347
GPT,2015,5,69,1,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,30.40728028,-89.07009278
GRB,2015,5,-8,1,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GRK,2015,5,-16,1,Robert Gray AAF,Killeen,TX,31.06489778,-97.82779778
GRR,2015,5,-11,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,2015,5,23.5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
HOU,2015,5,-2.8,5,William P Hobby,Houston,TX,29.64541861,-95.27888889
HPN,2015,5,8,1,Westchester Cty,White Plains,NY,41.06695778,-73.70757444
HSV,2015,5,9,2,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,2015,5,2.555555556,9,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2015,5,18.9047619,21,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,2015,5,-10,2,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IND,2015,5,6.75,4,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
ISP,2015,5,-3.5,2,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAN,2015,5,-8,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2015,5,14.66666667,3,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2015,5,41.16666667,6,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2015,5,7.291666667,24,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2015,5,23.76923077,13,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LBB,2015,5,-16,1,Lubbock International,Lubbock,TX,33.66363889,-101.8227778
LFT,2015,5,-1,2,Lafayette Regional,Lafayette,LA,30.20527972,-91.987655
LGA,2015,5,-4.6,10,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2015,5,8,2,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,2015,5,21,2,Adams ,Little Rock,AR,34.72939611,-92.22424556
LNK,2015,5,26,1,Lincoln Municipal,Lincoln,NE,40.85097222,-96.75925
MCI,2015,5,52.33333333,3,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2015,5,8.714285714,14,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2015,5,11.5,2,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2015,5,-0.666666667,3,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2015,5,4.222222222,9,Memphis International,Memphis,TN,35.04241667,-89.97666667
MHT,2015,5,-9,1,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2015,5,0.75,4,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2015,5,-14,1,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLI,2015,5,0,1,Quad City,Moline,IL,41.44852639,-90.50753917
MOB,2015,5,48,1,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MRY,2015,5,-10,1,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSP,2015,5,19,12,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MTJ,2015,5,-14,1,Montrose Regional,Montrose,CO,38.50886722,-107.8938333
